Word,Meaning
a,bir
aback,kənar
abacus,sayğac
abandon,imtina
abandoned,tərk
abandoning,tərk
abandonment,tərk
abandons,imtina
abase,əskiltmək
abased,rüsvay
abasement,alçalma
abasements,həqarətə
abases,alçaltdı
abash,bozmak
abate,azaltmaq
abatement,güzəşt
abatements,azaldılması
abating,azalmır
abbey,abbatlıq
abbot,rahib
abbreviate,qısaltmaq
abbreviated,qısaldılmış
abbreviation,kısaltma
abbreviations,ixtisarlar
abdicate,əl çəkmək
abdication,öz dönmə
abdomen,qarın
abdomens,qarınları
abdominal,qarın
abduct,oğurlamaq
abducted,qaçırılan
abducting,qaçıraraq
abduction,oğurluq
abductors,qaçıranlar
aberration,aberrasiya
aberrations,aberrasyonları
abetment,vurulması Toxum
abetting,yataqlıq
abeyance,askıda
abhor,nifrət
abhorrence,ləclik
abhorrent,mənfur
abhorring,ikrah
abidance,əməl olunmasını
abide,əbədi
abided,əməl
abides,xəbərdar et
abiding,əbədi
abidingly,arası
abilities,qabiliyyət
ability,bacarıq
abject,zəlil
ablaze,alev alev
able,qadir
ablution,dəstəmaz alma
ablutions,dəstəmaz
ably,bacarıqla
abnormal,anormal
abnormalities,anormallikler
abnormality,anormallıq
abnormally,qeyri-təbii
aboard,xaricdə
abode,məskən
abodes,otaqlar
abolish,aradan qaldırmaq
abolished,ləğv
abolishes,ləğv
abolishing,ləğv
abolishment,ləğv
abolition,ləğv
abominable,nifrətdoğuran
abominably,iyrənc
abominate,zəhləsi getmək
abomination,xəbislik
abominations,murdarlıqlar
aboriginal,yerli
aborigine,aborigen
abort,uşaq salmaq
aborted,ləğv
abortion,abort
abortions,abortlar
abortive,tutmadıqda
abound,bol olmaq
about,haqqında
above,yuxarıda
aboveboard,qanuni
aboveground,yerüstü
abovementioned,yuxarıda
abrasion,eyilmə
abrasions,sıyrıqlar
abrasive,abraziv
abrasives,abraziv
abreast,ayaq uydurarak
abridge,ixtisarlamaq
abridged,ixtisarlı
abridgement,qısaltma
abridging,ixtisarını
abridgment,qısaltma
abroad,xaricdə
abrogate,ləğv etmək
abrogated,ləğv
abrogating,ləğv
abrogation,ləğv
abrupt,rabitəsiz
abruptly,kəskin
abruptness,rabitəsizlik
abscess,fır
abscond,gizlənməsi
absconding,gizlənməsinin
absence,olmaması
absences,məzuniyyətlər
absent,olmayan
absentee,proqulçu
absenteeism,devamsızlık
absentees,gəlməyən
absentia,qiyabi
absently,diqqətsiz
absents,"yoxdur,"
absinth,yovşan
absolute,mütləq
absolutely,tamamilə
absolutes,absolyut
absolution,halallıq
absolutism,mütləqiyyət
absolve,günah
absolved,azad
absorb,udmaq
absorbability,udma qabiliyyəti
absorbed,udulmuş
absorbency,uduculuq
absorbent,uducu
absorbents,absorbentlər
absorbing,udma
absorbs,udur
absorption,udma
absorptions,absorbsiyalarda
absorptive,absorbsiya
abstain,çəkinmək
abstained,bitərəf
abstainer,içki içmeyen kimse
abstaining,bitərəf
abstains,qaçdığı
abstention,bitərəf
abstentions,bitərəf
abstract,mücərrəd
abstracted,Abstrak
abstraction,abstraksiya
abstractionism,Abstraktsianizm
abstractionists,abstraksianistlərin
abstractions,ayırmalarının
abstractness,mücərrədliyi
abstracts,özet
absurd,cəfəng
absurdity,mənasızlıq
absurdly,cəfəng
abundance,bolluq
abundances,miqdar
abundant,bol
abundantly,bol-bol
abuse,sui-istifadə
abused,sui-istifadə
abuses,sui-istifadə
abusing,sui-istifadə
abusive,təhqiramiz
abusively,həqarətlə
abutment,söykənəcək
abysmal,dibsiz
abyss,uçurum
abysses,dibsiz
acacia,akasiya
academia,akademiya
academic,akademik
academically,akademik
academician,akademik
academics,alimlər
academies,akademiya
academism,akademizminə
academy,akademiya
acajou,akaju
acanthus,ayıpəncəsi
accede,qoşula
acceded,qoşulmuşdur
accedes,qoşulur
acceding,qoşulan
accelerate,sürətləndirmək
accelerated,sürətləndirilməlidir
accelerates,sürətləndirir
accelerating,sürətləndirici
acceleration,təcil
accelerations,sürətləndirilməsi
accelerative,sürətləndirici
accelerator,sürətləndirici
accelerators,sürətləndiriciləri
accent,vurğu
accentor,torağayları
accents,Vurğu
accentuate,vurğulamaq
accentuated,qovuşduğu
accentuates,vurğulanır
accept,qəbul
acceptability,qəbul
acceptable,məqbul
acceptableness,məqbul
acceptance,qəbul
acceptances,qəbulları
acceptant,qəbulu
acceptation,qəbulu
accepted,qəbul
accepting,qəbul
acceptor,akseptor
acceptors,akseptorlarının
accepts,qəbul
access,keçid
accessed,əldə
accesses,giriş-çıxış
accessibility,münasiblik
accessible,əlçatan
accessing,daxil
accession,daxil
accessions,qoşulma
accessories,aksesuarlar
